siteclust,subregion,date,species,coral_type,lat,lon,n_alive,n_dead,n_total,pct_mort,dhw,cummaxdhw
4,Upper Keys,2023-10-23,APAL,Wild,24.986858335714285,-80.41520614285714,0,1,1,1,9.05,17.07
4,Upper Keys,2023-12-04,APAL,Wild,24.986858335714285,-80.41520614285714,0,1,1,1,1.85,17.07
4,Upper Keys,2024-01-04,ACER,Outplant,24.986858335714285,-80.41520614285714,0,81,81,1,0,17.07
4,Upper Keys,2024-01-05,ACER,Outplant,24.986858335714285,-80.41520614285714,20,90,110,0.8181818181818182,0,17.07
4,Upper Keys,2024-01-05,APAL,Outplant,24.986858335714285,-80.41520614285714,0,209,209,1,0,17.07
4,Upper Keys,2024-04-12,ACER,Outplant,24.986858335714285,-80.41520614285714,0,102,102,1,0,17.07
40,Lower Keys,2023-09-29,ACER,Outplant,24.51006,-81.570164,0,300,300,1,17.41,18.71
40,Lower Keys,2023-12-04,ACER,Outplant,24.51006,-81.570164,0,1243,1243,1,2.43,18.71
40,Lower Keys,2023-12-04,APAL,Outplant,24.51006,-81.570164,3,591,594,0.9949494949494949,2.43,18.71
41,Lower Keys,2023-11-10,ACER,Outplant,24.499615,-81.63146,0,749,749,1,5.11,19
42,Lower Keys,2023-09-29,ACER,Outplant,24.522404,-81.52017,0,296,296,1,17.29,18.62
42,Lower Keys,2023-12-04,ACER,Outplant,24.522404,-81.52017,0,818,818,1,2.44,18.62
42,Lower Keys,2023-12-04,APAL,Outplant,24.522404,-81.52017,2,610,612,0.9967320261437909,2.44,18.62
43,Lower Keys,2023-10-05,ACER,Outplant,24.454845,-81.87914,8,285,293,0.9726962457337884,16.3,18.71
43,Lower Keys,2024-01-31,APAL,Outplant,24.454845,-81.87914,2,586,588,0.9965986394557823,0,18.71
44,Middle Keys,2023-10-06,ACER,Outplant,24.77622,-80.73689,0,290,290,1,16.44,21.03
45,Lower Keys,2023-11-17,ACER,Outplant,24.53896,-81.451145,0,998,998,1,3.52,19.68
46,Lower Keys,2023-10-09,ACER,Outplant,24.482108888888888,-81.70589444444444,0,394,394,1,14.97,19.22
46,Lower Keys,2023-11-10,ACER,Outplant,24.482108888888888,-81.70589444444444,0,179,179,1,5.18,19.22
46,Lower Keys,2023-11-27,APAL,Outplant,24.482108888888888,-81.70589444444444,10,3320,3330,0.996996996996997,2.84,19.22
46,Lower Keys,2024-01-16,ACER,Outplant,24.482108888888888,-81.70589444444444,0,115,115,1,0,19.22
47,Broward-Miami,2023-06-02,ACER,Outplant,25.997518832866962,-80.1100105872521,103,6,109,0.05504587155963303,0,0
47,Broward-Miami,2023-08-18,ACER,Outplant,25.997518832866962,-80.1100105872521,95,14,109,0.12844036697247707,7.78,7.78
47,Broward-Miami,2023-10-17,ACER,Outplant,25.997518832866962,-80.1100105872521,208,28,236,0.11864406779661017,6.26,10.3
47,Broward-Miami,2024-01-19,ACER,Outplant,25.997518832866962,-80.1100105872521,113,39,152,0.2565789473684211,0,10.3
47,Broward-Miami,2024-03-14,ACER,Outplant,25.997518832866962,-80.1100105872521,79,28,107,0.2616822429906542,0,10.3
47,Broward-Miami,2024-03-28,ACER,Wild,25.997518832866962,-80.1100105872521,58,95,153,0.6209150326797386,0,10.3
47,Broward-Miami,2024-04-04,ACER,Wild,25.997518832866962,-80.1100105872521,39,60,99,0.6060606060606061,0,10.3
48,Broward-Miami,2023-06-02,ACER,Outplant,26.013216018676758,-80.1066370010376,134,20,154,0.12987012987012986,0,0
48,Broward-Miami,2023-08-18,ACER,Outplant,26.013216018676758,-80.1066370010376,117,37,154,0.24025974025974026,7.78,7.78
48,Broward-Miami,2023-10-17,ACER,Outplant,26.013216018676758,-80.1066370010376,43,2,45,0.044444444444444446,6.26,10.3
48,Broward-Miami,2023-11-27,ACER,Outplant,26.013216018676758,-80.1066370010376,51,17,68,0.25,0.46,10.3
48,Broward-Miami,2024-03-14,ACER,Outplant,26.013216018676758,-80.1066370010376,79,51,130,0.3923076923076923,0,10.3
49,Broward-Miami,2023-10-17,ACER,Outplant,26.145856584821427,-80.09374128069196,158,25,183,0.1366120218579235,6.33,10.31
49,Broward-Miami,2024-03-20,ACER,Wild,26.145856584821427,-80.09374128069196,0,4,4,1,0,10.31
49,Broward-Miami,2024-03-21,ACER,Wild,26.145856584821427,-80.09374128069196,16,7,23,0.30434782608695654,0,10.31
49,Broward-Miami,2024-04-18,ACER,Outplant,26.145856584821427,-80.09374128069196,76,32,108,0.2962962962962963,0,10.31
5,Middle Keys,2023-07-31,APAL,Outplant,24.626045675675677,-81.11055108108108,14,8,22,0.36363636363636365,11.69,11.69
5,Middle Keys,2023-07-31,APAL,Wild,24.626045675675677,-81.11055108108108,3,13,16,0.8125,11.69,11.69
5,Middle Keys,2023-08-14,ACER,Outplant,24.626045675675677,-81.11055108108108,69,405,474,0.8544303797468354,16.22,16.22
5,Middle Keys,2023-08-14,APAL,Outplant,24.626045675675677,-81.11055108108108,12,185,197,0.9390862944162437,16.22,16.22
5,Middle Keys,2023-09-14,ACER,Outplant,24.626045675675677,-81.11055108108108,0,700,700,1,19.22,19.29
5,Middle Keys,2023-09-14,APAL,Outplant,24.626045675675677,-81.11055108108108,141,2252,2393,0.9410781445883828,19.22,19.29
5,Middle Keys,2023-10-06,ACER,Outplant,24.626045675675677,-81.11055108108108,0,274,274,1,15.92,20.21
5,Middle Keys,2023-12-04,APAL,Outplant,24.626045675675677,-81.11055108108108,5,17,22,0.7727272727272727,2.7,20.21
5,Middle Keys,2023-12-04,APAL,Wild,24.626045675675677,-81.11055108108108,0,16,16,1,2.7,20.21
5,Middle Keys,2024-02-12,ACER,Outplant,24.626045675675677,-81.11055108108108,0,191,191,1,0,20.21
5,Middle Keys,2024-02-12,APAL,Outplant,24.626045675675677,-81.11055108108108,3,118,121,0.9752066115702479,0,20.21
50,Broward-Miami,2023-07-07,APAL,Wild,26.210536670684814,-80.08564910888671,24,3,27,0.1111111111111111,0.5,0.5
50,Broward-Miami,2023-08-01,APAL,Outplant,26.210536670684814,-80.08564910888671,140,21,161,0.13043478260869565,4.64,4.64
50,Broward-Miami,2023-11-06,APAL,Wild,26.210536670684814,-80.08564910888671,30,0,30,0,3.18,10.31
50,Broward-Miami,2023-11-13,ACER,Outplant,26.210536670684814,-80.08564910888671,41,4,45,0.08888888888888889,1.8800000000000001,10.31
50,Broward-Miami,2023-11-13,APAL,Outplant,26.210536670684814,-80.08564910888671,115,46,161,0.2857142857142857,1.8800000000000001,10.31
50,Broward-Miami,2024-01-30,APAL,Outplant,26.210536670684814,-80.08564910888671,87,74,161,0.45962732919254656,0,10.31
50,Broward-Miami,2024-03-08,APAL,Wild,26.210536670684814,-80.08564910888671,27,3,30,0.1,0,10.31
50,Broward-Miami,2024-03-20,ACER,Wild,26.210536670684814,-80.08564910888671,36,6,42,0.14285714285714285,0,10.31
51,Broward-Miami,2023-07-07,APAL,Wild,26.182849611554825,-80.0898677280971,1,0,1,0,0.5,0.5
51,Broward-Miami,2023-11-06,APAL,Wild,26.182849611554825,-80.0898677280971,1,0,1,0,3.18,10.31
51,Broward-Miami,2023-11-13,ACER,Outplant,26.182849611554825,-80.0898677280971,43,2,45,0.044444444444444446,1.8800000000000001,10.31
51,Broward-Miami,2024-02-14,ACER,Outplant,26.182849611554825,-80.0898677280971,76,98,174,0.5632183908045977,0,10.31
51,Broward-Miami,2024-03-08,APAL,Wild,26.182849611554825,-80.0898677280971,0,1,1,1,0,10.31
51,Broward-Miami,2024-03-20,ACER,Wild,26.182849611554825,-80.0898677280971,19,13,32,0.40625,0,10.31
52,Broward-Miami,2023-11-13,ACER,Outplant,26.199350357055664,-80.08897247314454,45,0,45,0,1.8800000000000001,10.31
52,Broward-Miami,2024-02-14,ACER,Outplant,26.199350357055664,-80.08897247314454,87,72,159,0.4528301886792453,0,10.31
52,Broward-Miami,2024-03-20,ACER,Wild,26.199350357055664,-80.08897247314454,15,7,22,0.3181818181818182,0,10.31
52,Broward-Miami,2024-05-03,ACER,Outplant,26.199350357055664,-80.08897247314454,64,36,100,0.36,0,10.31
53,Broward-Miami,2023-07-20,APAL,Wild,26.109182834625244,-80.098114013671875,1,1,2,0.5,3.0100000000000002,3.0100000000000002
53,Broward-Miami,2023-11-06,APAL,Wild,26.109182834625244,-80.098114013671875,1,0,1,0,3.18,10.31
53,Broward-Miami,2024-03-08,APAL,Wild,26.109182834625244,-80.098114013671875,1,0,1,0,0,10.31
53,Broward-Miami,2024-03-21,ACER,Wild,26.109182834625244,-80.098114013671875,13,21,34,0.6176470588235294,0,10.31
54,Broward-Miami,2024-03-20,ACER,Wild,26.1586332321167,-80.09680938720703,14,4,18,0.2222222222222222,0,10.31
54,Broward-Miami,2024-03-21,ACER,Wild,26.1586332321167,-80.09680938720703,25,23,48,0.4791666666666667,0,10.31
55,Broward-Miami,2023-07-20,APAL,Wild,26.06255006790161,-80.10639381408691,5,1,6,0.16666666666666666,3.0300000000000002,3.0300000000000002
55,Broward-Miami,2023-11-06,APAL,Wild,26.06255006790161,-80.10639381408691,5,0,5,0,3.29,10.43
55,Broward-Miami,2024-03-08,APAL,Wild,26.06255006790161,-80.10639381408691,5,0,5,0,0,10.43
55,Broward-Miami,2024-04-04,ACER,Wild,26.06255006790161,-80.10639381408691,15,44,59,0.7457627118644068,0,10.43
56,Broward-Miami,2024-03-28,ACER,Wild,25.976316452026367,-80.11518096923828,6,35,41,0.8536585365853658,0,10.3
57,Biscayne,2023-08-10,ACER,Outplant,25.641212222222222,-80.09595111111112,119,0,119,0,8.03,8.03
57,Biscayne,2023-09-01,ACER,Outplant,25.641212222222222,-80.09595111111112,98,18,116,0.15517241379310345,11.96,11.96
57,Biscayne,2023-09-30,ACER,Outplant,25.641212222222222,-80.09595111111112,127,5,132,0.03787878787878788,11.59,12.59
57,Biscayne,2023-10-20,ACER,Outplant,25.641212222222222,-80.09595111111112,144,41,185,0.22162162162162163,6.84,12.59
57,Biscayne,2023-11-10,ACER,Outplant,25.641212222222222,-80.09595111111112,87,5,92,0.05434782608695652,2.61,12.59
57,Biscayne,2024-02-26,APAL,Outplant,25.641212222222222,-80.09595111111112,795,33,828,0.03985507246376811,0,12.59
58,Biscayne,2023-08-18,APAL,Outplant,25.475755,-80.1385375,0,10,10,1,11.91,11.91
58,Biscayne,2024-02-26,APAL,Outplant,25.475755,-80.1385375,18,810,828,0.9782608695652174,0,15.25
58,Biscayne,2024-03-01,APAL,Outplant,25.475755,-80.1385375,7,93,100,0.93,0,15.25
58,Biscayne,2024-03-01,APAL,Wild,25.475755,-80.1385375,0,26,26,1,0,15.25
59,Broward-Miami,2023-07-25,ACER,Outplant,25.83403,-80.10703,143,0,143,0,4.38,4.38
59,Broward-Miami,2023-12-01,ACER,Outplant,25.83403,-80.10703,109,4,113,0.035398230088495575,0.49,10.84
6,Lower Keys,2023-07-25,APAL,Outplant,24.546137073170733,-81.40537463414634,12,5,17,0.29411764705882354,10.3,10.3
6,Lower Keys,2023-07-25,APAL,Wild,24.546137073170733,-81.40537463414634,45,27,72,0.375,10.3,10.3
6,Lower Keys,2023-08-16,ACER,Outplant,24.546137073170733,-81.40537463414634,80,103,183,0.5628415300546448,16.54,16.54
6,Lower Keys,2023-08-16,APAL,Outplant,24.546137073170733,-81.40537463414634,12,236,248,0.9516129032258065,16.54,16.54
6,Lower Keys,2023-10-09,ACER,Outplant,24.546137073170733,-81.40537463414634,0,195,195,1,14.52,19.39
6,Lower Keys,2023-10-09,APAL,Outplant,24.546137073170733,-81.40537463414634,0,90,90,1,14.52,19.39
6,Lower Keys,2023-11-08,ACER,Outplant,24.546137073170733,-81.40537463414634,3,85,88,0.9659090909090909,5.54,19.39
6,Lower Keys,2023-12-05,APAL,Outplant,24.546137073170733,-81.40537463414634,0,17,17,1,2.35,19.39
6,Lower Keys,2023-12-05,APAL,Wild,24.546137073170733,-81.40537463414634,0,72,72,1,2.35,19.39
6,Lower Keys,2024-01-04,APAL,Outplant,24.546137073170733,-81.40537463414634,0,2156,2156,1,0,19.39
6,Lower Keys,2024-01-18,APAL,Outplant,24.546137073170733,-81.40537463414634,0,5,5,1,0,19.39
6,Lower Keys,2024-02-12,ACER,Outplant,24.546137073170733,-81.40537463414634,0,126,126,1,0,19.39
6,Lower Keys,2024-02-12,APAL,Outplant,24.546137073170733,-81.40537463414634,0,103,103,1,0,19.39
6,Lower Keys,2024-03-12,APAL,Outplant,24.546137073170733,-81.40537463414634,0,324,324,1,0,19.39
60,Biscayne,2023-07-25,ACER,Outplant,25.7277,-80.09989,24,1,25,0.04,4.64,4.64
60,Biscayne,2023-10-11,ACER,Outplant,25.7277,-80.09989,19,6,25,0.24,8.09,11.35
61,Biscayne,2023-08-10,ACER,Wild/Outplant,25.5656675,-80.10125625,104,0,104,0,8.55,8.55
61,Biscayne,2023-08-18,APAL,Outplant,25.5656675,-80.10125625,9,0,9,0,10.59,10.59
61,Biscayne,2023-11-10,ACER,Wild/Outplant,25.5656675,-80.10125625,6,98,104,0.9423076923076923,3.63,14.22
61,Biscayne,2023-11-11,APAL,Outplant,25.5656675,-80.10125625,4,5,9,0.5555555555555556,3.44,14.22
61,Biscayne,2024-03-01,APAL,Outplant,25.5656675,-80.10125625,5,95,100,0.95,0,14.22
61,Biscayne,2024-03-01,APAL,Wild,25.5656675,-80.10125625,1,11,12,0.9166666666666666,0,14.22
61,Biscayne,2024-05-01,APAL,Outplant,25.5656675,-80.10125625,2,98,100,0.98,0,14.22
62,Tortugas--Dry Tortugas NP,2023-06-30,ACER,Outplant,24.702541500000002,-82.7989565,180,0,180,0,0,0
62,Tortugas--Dry Tortugas NP,2023-08-15,APAL,Outplant,24.702541500000002,-82.7989565,11,11,22,0.5,10.22,10.22
62,Tortugas--Dry Tortugas NP,2023-09-09,ACER,Outplant,24.702541500000002,-82.7989565,14,122,136,0.8970588235294118,13.38,13.38
62,Tortugas--Dry Tortugas NP,2023-11-08,APAL,Outplant,24.702541500000002,-82.7989565,0,22,22,1,5.0200000000000005,15.51
63,Tortugas--Dry Tortugas NP,2023-11-08,APAL,Outplant,24.69355,-82.7728,0,7,7,1,5.0200000000000005,15.51
64,Tortugas--Dry Tortugas NP,2023-06-30,ACER,Outplant,24.61915,-82.920517,180,0,180,0,0,0
64,Tortugas--Dry Tortugas NP,2023-09-09,ACER,Outplant,24.61915,-82.920517,2,104,106,0.9811320754716981,12.61,12.61
65,Middle Keys,2023-08-13,ACER,Outplant,24.90038,-80.6175075,0,45,45,1,14.74,14.74
65,Middle Keys,2023-08-18,ACER,Outplant,24.90038,-80.6175075,0,155,155,1,16.11,16.11
65,Middle Keys,2023-09-20,ACER,Outplant,24.90038,-80.6175075,0,66,66,1,20.35,20.35
66,Biscayne,2024-05-01,APAL,Outplant,25.53167,-80.10287,11,89,100,0.89,0,14.22
67,Biscayne,2024-03-01,APAL,Wild,25.35629,-80.172505,0,9,9,1,0,15.6
68,Biscayne,2024-03-01,APAL,Wild,25.33529,-80.17822,0,43,43,1,0,16.740000000000002
7,Upper Keys,2023-11-27,APAL,Wild,25.159758,-80.281991,0,16,16,1,1.8,17.97
8,Middle Keys,2023-12-04,APAL,Wild,24.960605333333334,-80.45652223333333,0,28,28,1,2.0300000000000002,17.07
9,Upper Keys,2023-11-17,APAL,Wild,25.148446528571426,-80.26312043214286,156,69,225,0.30666666666666664,2.87,16.92
9,Upper Keys,2023-11-27,APAL,Wild,25.148446528571426,-80.26312043214286,42,20,62,0.3225806451612903,1.72,16.92
